Company Name,Industry,Symbol,Series,ISIN Code
Lodha Developers LIMITED,Realty,LODHA,EQ,INE670K01029
Lupin LIMITED,Healthcare,LUPIN,EQ,INE326A01037
MMTC LIMITED,Services,MMTC,EQ,INE123F01029
MRF LIMITED,Automobile and Auto Components,MRF,EQ,INE883A01011
Mahanagar Gas LIMITED,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010
Maharashtra Seamless LIMITED,Capital Goods,MAHSEAMLES,EQ,INE271B01025
Mahindra & Mahindra Financial Services LIMITED,Financial Services,M&MFIN,EQ,INE774D01024
Mahindra & Mahindra LIMITED,Automobile and Auto Components,M&M,EQ,INE101A01026
Manappuram Finance LIMITED,Financial Services,MANAPPURAM,EQ,INE522D01027
Mangalore Refinery & Petrochemicals LIMITED,Oil Gas & Consumable Fuels,MRPL,EQ,INE103A01014
Mankind Pharma LIMITED,Healthcare,MANKIND,EQ,INE634S01028
Marico LIMITED,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Maruti Suzuki India LIMITED,Automobile and Auto Components,MARUTI,EQ,INE585B01010
Mastek LIMITED,Information Technology,MASTEK,EQ,INE759A01021
Max Financial Services LIMITED,Financial Services,MFSL,EQ,INE180A01020
Max Healthcare Institute LIMITED,Healthcare,MAXHEALTH,EQ,INE027H01010
Mazagoan Dock Shipbuilders LIMITED,Capital Goods,MAZDOCK,EQ,INE249Z01020
Metropolis Healthcare LIMITED,Healthcare,METROPOLIS,EQ,INE112L01020
Minda Corporation LIMITED,Automobile and Auto Components,MINDACORP,EQ,INE842C01021
Motherson Sumi Wiring India LIMITED,Automobile and Auto Components,MSUMI,EQ,INE0FS801015
Motilal Oswal Financial Services LIMITED,Financial Services,MOTILALOFS,EQ,INE338I01027
MphasiS LIMITED,Information Technology,MPHASIS,EQ,INE356A01018
Multi Commodity Exchange of India LIMITED,Financial Services,MCX,EQ,INE745G01035
Muthoot Finance LIMITED,Financial Services,MUTHOOTFIN,EQ,INE414G01012
NATCO Pharma LIMITED,Healthcare,NATCOPHARM,EQ,INE987B01026
NBCC (India) LIMITED,Construction,NBCC,EQ,INE095N01031
NCC LIMITED,Construction,NCC,EQ,INE868B01028
NHPC LIMITED,Power,NHPC,EQ,INE848E01016
NLC India LIMITED,Power,NLCINDIA,EQ,INE589A01014
NMDC LIMITED,Metals & Mining,NMDC,EQ,INE584A01023
NMDC Steel LIMITED,Metals & Mining,NSLNISP,EQ,INE0NNS01018
NTPC Green Energy LIMITED,Power,NTPCGREEN,EQ,INE0ONG01011
NTPC LIMITED,Power,NTPC,EQ,INE733E01010
Narayana Hrudayalaya LIMITED,Healthcare,NH,EQ,INE410P01011
National Aluminium Co. LIMITED,Metals & Mining,NATIONALUM,EQ,INE139A01034
Nava LIMITED,Power,NAVA,EQ,INE725A01030
Navin Fluorine International LIMITED,Chemicals,NAVINFLUOR,EQ,INE048G01026
Nestle India LIMITED,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024
Netweb Technologies India LIMITED,Information Technology,NETWEB,EQ,INE0NT901020
Network18 Media & Investments LIMITED,Media Entertainment & Publication,NETWORK18,EQ,INE870H01013
Neuland Laboratories LIMITED,Healthcare,NEULANDLAB,EQ,INE794A01010
